scenario,method,k,intra,inter
hopf_bif__clean_vs_warped__seed24,MM-PHATE,10,1.0,0.22071575907590762
hopf_bif__clean_vs_warped__seed24,MM-PHATE,40,1.0,0.40094884488448845
hopf_bif__clean_vs_warped__seed24,PCA,10,1.0,0.180210396039604
hopf_bif__clean_vs_warped__seed24,PCA,40,1.0,0.17678269389438941
hopf_bif__clean_vs_warped__seed24,t-SNE,10,1.0,0.27626031353135316
hopf_bif__clean_vs_warped__seed24,t-SNE,40,1.0,0.24532281353135313
hopf_bif__pitchfork_bif__no_warp__seed24,MM-PHATE,10,1.0,0.1395358910891089
hopf_bif__pitchfork_bif__no_warp__seed24,MM-PHATE,40,1.0,0.2515867367986799
hopf_bif__pitchfork_bif__no_warp__seed24,PCA,10,1.0,0.14872937293729377
hopf_bif__pitchfork_bif__no_warp__seed24,PCA,40,1.0,0.14339573019801982
hopf_bif__pitchfork_bif__no_warp__seed24,t-SNE,10,1.0,0.24601691419141916
hopf_bif__pitchfork_bif__no_warp__seed24,t-SNE,40,1.0,0.20244430693069307
hopf_bif__pitchfork_bif__warp__seed24,MM-PHATE,10,1.0,0.13242367986798684
hopf_bif__pitchfork_bif__warp__seed24,MM-PHATE,40,1.0,0.22456476897689767
hopf_bif__pitchfork_bif__warp__seed24,PCA,10,1.0,0.16359117161716172
hopf_bif__pitchfork_bif__warp__seed24,PCA,40,1.0,0.16587407178217822
hopf_bif__pitchfork_bif__warp__seed24,t-SNE,10,1.0,0.2665222772277228
hopf_bif__pitchfork_bif__warp__seed24,t-SNE,40,1.0,0.23667233910891092
